ordinal,task_key,title,source_corpus,source_slice,downloadable,public_bundle_status,public_csv,source_benchmark_csv,local_data_path_if_rebuilt,omission_reason,omission_caveat,redistribution_caveat,benchmark_subset,train_majority,train_minority,test_majority,test_minority,total_rows,source_manifest,task_manifest_files,provenance_note,risk_note
1,friday_bot,CIC-IDS-2017 Friday Bot vs BENIGN,CIC-IDS-2017,retained_non_dos,true,downloadable_csv_included,data/cic-ids-2017/friday_bot/friday_bot_vs_benign_preservedratio_train500minority_48000benign_test500minority_48000benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/friday_bot_vs_benign_preservedratio_train500minority_48000benign_test500minority_48000benign_chrono.csv,data/cic-ids-2017/friday_bot/friday_bot_vs_benign_preservedratio_train500minority_48000benign_test500minority_48000benign_chrono.csv,,,"Included with conservative CIC provenance: CIC policy pages appear to allow redistribution with citation, but this release does not relicense the upstream corpus and derivative-subset rights are not expressed as a standard open-data license.",train500_test500_single_label_25d_chrono,48000,500,48000,500,97000,metadata/source_manifests/retained_single_label_25d/friday_bot_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Friday-WorkingHours-Morning.pcap_ISCX.csv.,
2,thursday_web_attack_bruteforce,CIC-IDS-2017 Thursday Web Attack - Brute Force vs BENIGN,CIC-IDS-2017,retained_non_dos,true,downloadable_csv_included,data/cic-ids-2017/thursday_web_attack_bruteforce/thursday_web_attack_bruteforce_vs_benign_preservedratio_train500minority_55500benign_test500minority_55500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/thursday_web_attack_bruteforce_vs_benign_preservedratio_train500minority_55500benign_test500minority_55500benign_chrono.csv,data/cic-ids-2017/thursday_web_attack_bruteforce/thursday_web_attack_bruteforce_vs_benign_preservedratio_train500minority_55500benign_test500minority_55500benign_chrono.csv,,,"Included with conservative CIC provenance: CIC policy pages appear to allow redistribution with citation, but this release does not relicense the upstream corpus and derivative-subset rights are not expressed as a standard open-data license.",train500_test500_single_label_25d_chrono,55500,500,55500,500,112000,metadata/source_manifests/retained_single_label_25d/thursday_web_attack_bruteforce_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv.,
3,tuesday_ftp_patator,CIC-IDS-2017 Tuesday FTP-Patator vs BENIGN,CIC-IDS-2017,retained_non_dos,true,downloadable_csv_included,data/cic-ids-2017/tuesday_ftp_patator/tuesday_ftp_patator_vs_benign_preservedratio_train500minority_27000benign_test500minority_27000benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/tuesday_ftp_patator_vs_benign_preservedratio_train500minority_27000benign_test500minority_27000benign_chrono.csv,data/cic-ids-2017/tuesday_ftp_patator/tuesday_ftp_patator_vs_benign_preservedratio_train500minority_27000benign_test500minority_27000benign_chrono.csv,,,"Included with conservative CIC provenance: CIC policy pages appear to allow redistribution with citation, but this release does not relicense the upstream corpus and derivative-subset rights are not expressed as a standard open-data license.",train500_test500_single_label_25d_chrono,27000,500,27000,500,55000,metadata/source_manifests/retained_single_label_25d/tuesday_ftp_patator_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Tuesday-WorkingHours.pcap_ISCX.csv.,
4,tuesday_ssh_patator,CIC-IDS-2017 Tuesday SSH-Patator vs BENIGN,CIC-IDS-2017,retained_non_dos,true,downloadable_csv_included,data/cic-ids-2017/tuesday_ssh_patator/tuesday_ssh_patator_vs_benign_preservedratio_train500minority_36500benign_test500minority_36500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/tuesday_ssh_patator_vs_benign_preservedratio_train500minority_36500benign_test500minority_36500benign_chrono.csv,data/cic-ids-2017/tuesday_ssh_patator/tuesday_ssh_patator_vs_benign_preservedratio_train500minority_36500benign_test500minority_36500benign_chrono.csv,,,"Included with conservative CIC provenance: CIC policy pages appear to allow redistribution with citation, but this release does not relicense the upstream corpus and derivative-subset rights are not expressed as a standard open-data license.",train500_test500_single_label_25d_chrono,36500,500,36500,500,74000,metadata/source_manifests/retained_single_label_25d/tuesday_ssh_patator_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Tuesday-WorkingHours.pcap_ISCX.csv.,
5,cse_cic_ids2018_bot,CSE-CIC-IDS2018 Bot vs BENIGN,CSE-CIC-IDS2018,retained_non_dos,true,downloadable_csv_included,data/cse-cic-ids2018/cse_cic_ids2018_bot/cse_cic_ids2018_bot_vs_benign_preservedratio_train500minority_23500benign_test500minority_23500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/cse_cic_ids2018_bot_vs_benign_preservedratio_train500minority_23500benign_test500minority_23500benign_chrono.csv,data/cse-cic-ids2018/cse_cic_ids2018_bot/cse_cic_ids2018_bot_vs_benign_preservedratio_train500minority_23500benign_test500minority_23500benign_chrono.csv,,,"Included with conservative CIC provenance: UNB/CIC redistribution language appears broad, but this release does not relicense the upstream corpus.",train500_test500_single_label_25d_chrono,23500,500,23500,500,48000,metadata/source_manifests/retained_single_label_25d/cse_cic_ids2018_bot_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: All day-organized processed-flow CSVs in file order..,
6,cse_cic_ids2018_ftp_bruteforce,CSE-CIC-IDS2018 FTP-BruteForce vs BENIGN,CSE-CIC-IDS2018,retained_non_dos,true,downloadable_csv_included,data/cse-cic-ids2018/cse_cic_ids2018_ftp_bruteforce/cse_cic_ids2018_ftp_bruteforce_vs_benign_preservedratio_train500minority_34500benign_test500minority_34500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/cse_cic_ids2018_ftp_bruteforce_vs_benign_preservedratio_train500minority_34500benign_test500minority_34500benign_chrono.csv,data/cse-cic-ids2018/cse_cic_ids2018_ftp_bruteforce/cse_cic_ids2018_ftp_bruteforce_vs_benign_preservedratio_train500minority_34500benign_test500minority_34500benign_chrono.csv,,,"Included with conservative CIC provenance: UNB/CIC redistribution language appears broad, but this release does not relicense the upstream corpus.",train500_test500_single_label_25d_chrono,34500,500,34500,500,70000,metadata/source_manifests/retained_single_label_25d/cse_cic_ids2018_ftp_bruteforce_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: All day-organized processed-flow CSVs in file order..,
7,cse_cic_ids2018_infilteration,CSE-CIC-IDS2018 Infilteration vs BENIGN,CSE-CIC-IDS2018,retained_non_dos,true,downloadable_csv_included,data/cse-cic-ids2018/cse_cic_ids2018_infilteration/cse_cic_ids2018_infilteration_vs_benign_preservedratio_train500minority_41500benign_test500minority_41500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/cse_cic_ids2018_infilteration_vs_benign_preservedratio_train500minority_41500benign_test500minority_41500benign_chrono.csv,data/cse-cic-ids2018/cse_cic_ids2018_infilteration/cse_cic_ids2018_infilteration_vs_benign_preservedratio_train500minority_41500benign_test500minority_41500benign_chrono.csv,,,"Included with conservative CIC provenance: UNB/CIC redistribution language appears broad, but this release does not relicense the upstream corpus.",train500_test500_single_label_25d_chrono,41500,500,41500,500,84000,metadata/source_manifests/retained_single_label_25d/cse_cic_ids2018_infilteration_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: All day-organized processed-flow CSVs in file order..,
8,cse_cic_ids2018_ssh_bruteforce,CSE-CIC-IDS2018 SSH-Bruteforce vs BENIGN,CSE-CIC-IDS2018,retained_non_dos,true,downloadable_csv_included,data/cse-cic-ids2018/cse_cic_ids2018_ssh_bruteforce/cse_cic_ids2018_ssh_bruteforce_vs_benign_preservedratio_train500minority_35500benign_test500minority_35500benign_chrono.csv,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_chrono/cse_cic_ids2018_ssh_bruteforce_vs_benign_preservedratio_train500minority_35500benign_test500minority_35500benign_chrono.csv,data/cse-cic-ids2018/cse_cic_ids2018_ssh_bruteforce/cse_cic_ids2018_ssh_bruteforce_vs_benign_preservedratio_train500minority_35500benign_test500minority_35500benign_chrono.csv,,,"Included with conservative CIC provenance: UNB/CIC redistribution language appears broad, but this release does not relicense the upstream corpus.",train500_test500_single_label_25d_chrono,35500,500,35500,500,72000,metadata/source_manifests/retained_single_label_25d/cse_cic_ids2018_ssh_bruteforce_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: All day-organized processed-flow CSVs in file order..,
9,cic_unsw_nb15_exploits,CIC-UNSW-NB15 Exploits vs BENIGN,CIC-UNSW-NB15,retained_non_dos,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_fixed/cic_unsw_nb15_exploits_vs_benign_preservedratio_train500minority_5500benign_test500minority_5500benign_fixed.csv,data/cic-unsw-nb15/cic_unsw_nb15_exploits/cic_unsw_nb15_exploits_vs_benign_preservedratio_train500minority_5500benign_test500minority_5500benign_fixed.csv,"Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.",train500_test500_single_label_25d_fixed,5500,500,5500,500,12000,metadata/source_manifests/retained_single_label_25d/cic_unsw_nb15_exploits_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Data.csv joined row-wise with Label.csv in original row order..,
10,cic_unsw_nb15_fuzzers,CIC-UNSW-NB15 Fuzzers vs BENIGN,CIC-UNSW-NB15,retained_non_dos,false,omitted_not_redistributed,,data/preserved_ratio_experiments/processed/train500_test500_single_label_25d/tuning_fixed/cic_unsw_nb15_fuzzers_vs_benign_preservedratio_train500minority_6000benign_test500minority_6000benign_fixed.csv,data/cic-unsw-nb15/cic_unsw_nb15_fuzzers/cic_unsw_nb15_fuzzers_vs_benign_preservedratio_train500minority_6000benign_test500minority_6000benign_fixed.csv,"Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.","Omitted from downloadable CSV bundle because academic use and citation requirements are clear, but redistribution of repackaged or derived benchmark subsets was not explicitly verified from the documented source route.",train500_test500_single_label_25d_fixed,6000,500,6000,500,13000,metadata/source_manifests/retained_single_label_25d/cic_unsw_nb15_fuzzers_vs_benign.json,,Retained non-DoS task from the preserved-ratio single-label 25D benchmark surface. Source description: Data.csv joined row-wise with Label.csv in original row order..,
